Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,StandardMolecules
H20157 24 2.5,GUSB,UNKNOWN,SYBR,None,24.898,24.966,0.059,
H20157 24 2.5,GUSB,UNKNOWN,SYBR,None,24.996,24.966,0.059,
H20157 24 2.5,GUSB,UNKNOWN,SYBR,None,25.004,24.966,0.059,
H20157 24 2.5,MMP1_,UNKNOWN,SYBR,None,30.03,30.231,0.271,
H20157 24 2.5,MMP1_,UNKNOWN,SYBR,None,30.122,30.231,0.271,
H20157 24 2.5,MMP1_,UNKNOWN,SYBR,None,30.539,30.231,0.271,
H20157 24 2.5,MMP13,UNKNOWN,SYBR,None,26.05,26.055,0.068,
H20157 24 2.5,MMP13,UNKNOWN,SYBR,None,25.99,26.055,0.068,
H20157 24 2.5,MMP13,UNKNOWN,SYBR,None,26.124,26.055,0.068,
H20157 24 2.5,TIMP2,UNKNOWN,SYBR,None,19.947,20.039,0.08,
H20157 24 2.5,TIMP2,UNKNOWN,SYBR,None,20.094,20.039,0.08,
H20157 24 2.5,TIMP2,UNKNOWN,SYBR,None,20.076,20.039,0.08,
H20157 NO STRAIN,GUSB,UNKNOWN,SYBR,None,24.825,24.795,0.026,
H20157 NO STRAIN,GUSB,UNKNOWN,SYBR,None,24.778,24.795,0.026,
H20157 NO STRAIN,GUSB,UNKNOWN,SYBR,None,24.781,24.795,0.026,
H20157 NO STRAIN,MMP1_,UNKNOWN,SYBR,None,30.568,30.579,0.109,
H20157 NO STRAIN,MMP1_,UNKNOWN,SYBR,None,30.476,30.579,0.109,
H20157 NO STRAIN,MMP1_,UNKNOWN,SYBR,None,30.693,30.579,0.109,
H20157 NO STRAIN,MMP13,UNKNOWN,SYBR,None,26.639,26.608,0.201,
H20157 NO STRAIN,MMP13,UNKNOWN,SYBR,None,26.394,26.608,0.201,
H20157 NO STRAIN,MMP13,UNKNOWN,SYBR,None,26.792,26.608,0.201,
H20157 NO STRAIN,TIMP2,UNKNOWN,SYBR,None,19.719,19.783,0.084,
H20157 NO STRAIN,TIMP2,UNKNOWN,SYBR,None,19.753,19.783,0.084,
H20157 NO STRAIN,TIMP2,UNKNOWN,SYBR,None,19.878,19.783,0.084,
H23555 24 2.5,GAPDH,UNKNOWN,SYBR,None,16.039,16.06,0.052,
H23555 24 2.5,GAPDH,UNKNOWN,SYBR,None,16.022,16.06,0.052,
H23555 24 2.5,GAPDH,UNKNOWN,SYBR,None,16.12,16.06,0.052,
H23555 24 2.5,GUSB,UNKNOWN,SYBR,None,24.551,24.611,0.08,
H23555 24 2.5,GUSB,UNKNOWN,SYBR,None,24.702,24.611,0.08,
H23555 24 2.5,GUSB,UNKNOWN,SYBR,None,24.581,24.611,0.08,
H23555 24 2.5,MMP1_,UNKNOWN,SYBR,None,29.651,29.798,0.277,
H23555 24 2.5,MMP1_,UNKNOWN,SYBR,None,29.625,29.798,0.277,
H23555 24 2.5,MMP1_,UNKNOWN,SYBR,None,30.118,29.798,0.277,
H23555 24 2.5,MMP13,UNKNOWN,SYBR,None,29.599,29.677,0.068,
H23555 24 2.5,MMP13,UNKNOWN,SYBR,None,29.708,29.677,0.068,
H23555 24 2.5,MMP13,UNKNOWN,SYBR,None,29.723,29.677,0.068,
H23555 24 2.5,TIMP2,UNKNOWN,SYBR,None,20.787,20.853,0.063,
H23555 24 2.5,TIMP2,UNKNOWN,SYBR,None,20.859,20.853,0.063,
H23555 24 2.5,TIMP2,UNKNOWN,SYBR,None,20.913,20.853,0.063,
H23555 NO STRAIN,GUSB,UNKNOWN,SYBR,None,24.998,24.874,0.122,
H23555 NO STRAIN,GUSB,UNKNOWN,SYBR,None,24.87,24.874,0.122,
H23555 NO STRAIN,GUSB,UNKNOWN,SYBR,None,24.753,24.874,0.122,
H23555 NO STRAIN,MMP1_,UNKNOWN,SYBR,None,32.936,33.223,0.309,
